Word,Clue
SEMENTO,"Kapag bago ay mahina, matibay kapag naluma."
SEPILYO,"Panlinis din ito, iginigilgil sa ngipin mo."
SIBAT,Matulis na instrumento umasinta at pakawalan mo.
SILBATO,"Malakas na panawag ko, hihinto ka pag hinipan ni Kabo."
SILYA,"Nasa komedor at sala,
Nasasandalan at napagpapahingahan,
Gamit mo kung nagmamakinilya
O nagsusulat ka sa mesa."
PAYONG,"Binatak ko ang baging, bumuka ang tikin."
SINGSING,"Dalawang solidong bilog sa daliri,
Tinutuhog at simbolo ng pag-irog."
SIPIT,"Nakikita sa sampayan,
Damit ay kinakapitan."
SIPA,"Paa ang ginagamit sa laruan,
Yantok ang bola-bolahan."
SOBRE,"Itinatago dito ang mga kaisipan
Na ipinarating sa kinaukulan."
SOBRE,"Lalagyan ng kaisipan,
Tumatawid sa karagatan."
SOBRE,"Pera dito’y inilalagay, pakimkim na ibinibigay."
SOBRE,"Tagapaghatid ng mga kaisipan
Karaniwang puti ang kasuotan."
SULAT,"Mga salitang dapat maunawaan,
Di dapat iparinig kaninuman,
Kaya mata lang ang dapat gumalaw."
SUMBRERO,"Nang isuot mo ito, araw ay natalo."
LAGARE,"Urong-sulong, panay ang lamon, urung-sulong, lumalamon."
SUNGKAAN,"Laro ito na paramihan,
Ng mga sigay na naglalakaran,
Pinamamasyal sa lungga-lunggaan,
Bago magpunta sa kwebang tahanan."
SOMBRERO,"Pinagbigyan mo lang na isuot ito,
Nagmataas pa sa iyo."
SUMPIT,"Karaniwang ang bala nito ay munggo,
Pag hinipan ay tatama sa iyo."
SUNGKAAN,"Bahay niya ay pitong labak,
Pitu-pito rin ang anak."
SUNGKAAN,"Pitong ilog nilalangoy
Ng pitu-pito ring anak na iniirog."
SUNGKAAN,"Pitong bundok, pitong lubak,
Tigpipitong anak."
SUNGKAAN,"Sinusuotang pitong lungga,
Ng pitu-pito ring daga."
SUNGKIT,"Mahabang kahoy na may ekis sa dulo,
Nagbibigay ng prutas sa tao."
SUYOD,"Sundalong bakal, kabukiran ay pinapatag,
Hinihiwalay nito mga batong nakalatag."
ALKANSIYA,"Ang alaga kong hugis bilog, barya-barya ang laman-loob."
SUYOD,"Sundalong patpat,
Insekto sa ulo ay pinupuksang ganap."
TABO NA MAY TANGKAY,Kunin mo ang buntot ko at sisisid ako.
TAKALAN,"Kutsara, kahon o lata,
Tagasukat kung ang dami ay tama na."
TAKILYERA,"Tiket sa sinehan sa kaniya kinukuha
Kailangang magbayad at pumila ka."
TAKIP,"Ibinibihis sa mga aklat ng kabataan
Upang di marumihan."
TAKONG,"Depende dito na iyong tuntungan
Ang iyong katangkaran."
TAKSI,"Sasakyan itong magdadala sa iyo
Saan mo man gustong magtungo
Apat ang pasahero nito
May metro ng oras dito."
TALYER,"Ospital ng mga sasakyan
Kung may sakit ay nilulunasan."
TANIKALA,"Bugtong-bugtong, magkakadugtong."
WALIS,"Isang hukbong sundalo, dikit-dikit ang mga ulo."
TANSAN,"Panakip ito sa inuming nakabotelya, yari ito sa bilog na lata."
TAPAYAN,"Lumalalim kung bawasan,
Bumababaw kung dagdagan."
TASA / MANGKOK,"Lalagyan ng sopas na masarap,
Paghigop ng sabaw iyong malalasap."
TELEBISYON,"Nangyari doon sa malayong lupalop,
Nasasaksihan dito kahit sa isang sulok."
TELEBISYON,"Pangyayaring nasasaksihan
Mapapahinto sa isang pindot lamang."
TELEBISYON,"Pangyayari sa sandaigdigan
Nakikita sa loob ng tahanan."
TELEBISYON,"Usapan ng mga taong natatanaw,
Nalalakasan o nahihinaan,
Sa isang pindot lamang."
TELEPONO,"Ang distansiya’y dagat na malawak,
Sa mahabang kawad lang ay makapag-uusap."
TELON,"Kapag itinaas ay nagpapalakpakan,
Kapag ibinaba ay nag-uuwian."
KALENDARYO,"Araw-araw nabubuhay, taon-taon namamatay."
TINIDOR,"Panundot mo sa pagkain,
Kaliwang kamay mo ay kakaibiganin."
TINTA,"Iniinom ito ng pluma,
Upang ang sulat ay mapaganda."
TIRADOR,"Nakapananakit itong sandata
Gawa lamang sa sanga, balat at goma."
TISA,"Batong pang-arkitekturang may kalamigan,
Maaring gawing dingding ng tahanan."
TORE,"Matotorete ka sa kataasan,
Makikita mo na rito ang malayong kapaligiran."
TOROTOT,"Maingay ang paligid kung ito’y hihipan,
Bagong taon na nga para sa kabataan."
TRAHE,"Damit na pangkasal, puting-puti ang kulay."
TRAKTORA,"Higanteng sasakyang isa lang ang laman
Binubungkal nito ang anumang maraanan."
TRAYSIKEL,"Sasakyan itong may gulong na tatlo
Ang nagpapaandar dito ay padyak o krudo."
YOYO,"Itapon mo kahit saan, babalik sa pinanggalingan."
TREN,"Bakal na dugtung-dugtong
Tumatakbo dito at doon."
TREN,"Bakal na magkakadugtong
Naglilibot sa buong Luzon."
TREN,"Bugtong pala bugtong,
Tanikalang umuugong."
TREN,"Dugtong-dugtong, kabit-kabit
Sasakyang pagkabilis-bilis."
TRUMPO,"Akin munang tinalian
Bago inihagis sa daan
Hayun at pasayaw-sayaw."
TRUMPO,"Binigkis ko nang binigkis
Bago ko inihagis."
TRUMPO,"Hinila ko ang baging
Nag-iikot ang matsing."
TRUMPO,"Nang hawakan ko ay patay,
Nang itapon ko ay nabuhay."
TRUMPO,"Ulung-ulo at paa lamang
Paikut-ikot sa sayawan."
KARAYOM,"Lumabas, pumasok, dala-dala ay panggapos."
TUBO,"Daanan ng tubig sa ilalim ng lupa,
Kung mabubutas ito lagot ka sa mikrobyo."
TUBO,"Tagapaghatid ng inuming tubig
Bakal na lalagyang kaibig-ibig."
TULAY,"Daang nagpapaikli sa lalakbayin mo
Maaaring gawa sa kahoy, bakal o bato."
TUMBA-TUMBA,"Kalesa ko si Infanta
Takbo nang takbo pero nakapara."
UNAN,"Bulak ng mga pangarap,
Lagi nang kayakap-yakap."
UNAN,"Kung araw ay patung-patong,
Kung gabi ay dugtung-dugtong."
UNAN,"Saging ko sa Binangonan,
Magdamag kong tinulugan."
WALIS,"Kapag nag-iisa ay tamad,
kapag-marami ay masipag."
WATAWAT,"Maliit na tela sa kalawakan
Inaawitan ng mga mamamayan."
SILYA,"May paa’y walang baywang, may likod walang tiyan."
YERO,"Sumbrero ang panakip natin sa ulo
Ito naman ang panaklob sa bahay ni lolo."
YESO,"Karaniwang ito ay mestizo
Nauubos sa kasusulat ng maestro."
YOYO,"Itapon mo kahit saan,
Babalik sa pinanggalingan."
ZIPPER,"Lumangoy lang si Kana,
Naghiwalay na ang sapa."
ZIPPER,"Nagbaging lang si Tarsan,
Nahati na ang lansangan."
SIGARILYO,"Nang maliit ay mestiso,
Nang lumaki ay negro."
AKLAT,"May dahon ay di halaman,
Maraming mukha’y walang buhay,
Ang laman ay karunungan."
GULOK,"Malaki kung bata,
Lumiliit pag tumanda,
Dahil sa kakahasa."
GUNTING,"Tulisang kambal,
May talim na taglay,
Matagal nagkakagatan,
Di pa nagkakasakitan."
SIMBAHAN,"Malaking tahanan, hindi tinitirhan."
BANGKA,"Ang puno’y nasa gubat,
Ang katawa’y nasa dagat."
KUWINTAS,"Isang silong tanikala,
Sa leeg iniakma;
Ang magsuot diwata,
Gumaganda’t gumagara."
MARTILYO,"Hindi tao, hindi hayop,
May katawan, walang paa,
May ilong walang mukha.
May tainga walang ulo."
PLANTSA,"Pinawalan ang bibig,
Pinagkuskusan ang puwit."
RADYO,"Mapagabi, mapaaraw,
Walang tigil sa pagdaldal,
Ngunit kapag nakainisan,
Atin itong pinapatay."
WALIS,"Maraming paa’y walang kamay,
May pamigkis sa baywang,
Ang ulo’y parang tagayan,
alagad ng kalinisan."
KARAYOM AT SINULID,"Makina kong si Moreno,
Nasa puwit ang preno."
DIKIN,"Alisto ka pandak,
Daraing si pabigat."
PAPEL,"Sa walang buhay inihayag,
Ang liham ng pagliyag.
Noong malinis ay hinahamak,
Nang magkaguhit ay kinakausap."
SINTURON,"Hindi hayop, hindi tao,
Pumupulupot sa tiyan mo."
FLASHLIGHT,"Dito ko itinanim, doon lumaki."
SABON,"Nagsaing si Kurukutong,
Kumukulo’y walang gatong."
SIGARILYO,"Sinisindihan, wala namang inilawan."
SALAMIN,Aling mabuting litratong kuhang-kuha sa mukha mo.
SALAMIN,"Kuwadro  ko sa dingding, Kamukha ng bawat tumitingin."
SALAMIN,"Kapag ako’y nakatingin,
ito’y bumalik sa akin."
MESA,"Ang paa ay apat,
Hindi makalakad-lakad."
MESA,"Walang diperensya ang apat na paa,
Lumpo pa rin sa tuwi-tuwina."
JACKET,"Hindi tao, hindi hayop
Hindi apoy ngunit,
Nagbigay init sa katawan mong nilalamig."
TREN,"Dugtong-dugtong nagkakarugtong, tanikalang humuhugong."
JACKET,"Hindi tao, hindi hayop, hindi apoy ngunit nagbibigay ng init sa katawan."
JACKET,"Hindi tao,  hindi hayop, pero bagay na sinusuot tuwing nilalamig ang tao."
BAHAY NG KALAPATI,"Bahay ng aluwagi, iisa ang haligi."
SIGARILYO,"Sinisindihan at pinagbabaga, kanser sa baga ang dala-dala."
SALAMIN,"Tumingin ka sa akin, ang makikita mo’y ikaw din."
